system,ccc_arousal,ccc_valence,ccc_dominance,mean_ccc,accuracy,balanced_accuracy,macro_f1,weighted_f1
eGeMAPS,0.5948296782916135,0.2192329346077011,0.5874408427238306,0.4671678185410484,0.2874239159669762,0.2889174572079834,0.2436480402121993,0.2430324765795149
SER-only neural,0.6084318657716116,0.3932071601351102,0.596442699432373,0.5326938877503077,0.3612915004062578,0.3628549626243755,0.3165358579152886,0.315791146169226
vanilla XLS-R frozen,0.672784686088562,0.5061457256476084,0.676953136920929,0.6186278561751047,0.3775885773847729,0.3782526442070301,0.3444489461671107,0.3438509380554418
Puno Quechua ASR-SER,0.6670865913232168,0.540540928641955,0.6951589981714884,0.6342621694008509,0.4491654036072933,0.4499560642429445,0.4223560327955876,0.4223479663039431
