fold,ccc_arousal,ccc_valence,ccc_dominance,mean_ccc,mae,mse
1,0.6806333661079407,0.5546277761459351,0.6770659685134888,0.637442409992218,0.525601327419281,0.4317602813243866
2,0.6028591990470886,0.3576466739177704,0.6274232864379883,0.5293096899986267,0.5216212272644043,0.4240984618663788
3,0.6878716349601746,0.4065757691860199,0.6431535482406616,0.5792003273963928,0.5803089141845703,0.5396044850349426
4,0.7405467629432678,0.4120469093322754,0.7129697203636169,0.6218544840812683,0.512389600276947,0.4078628718852997
5,0.6989999413490295,0.6541367173194885,0.7113011479377747,0.6881459355354309,0.5269052386283875,0.43657779693603516
6,0.6257972121238708,0.6518405079841614,0.6898051500320435,0.6558142900466919,0.577362060546875,0.5213358402252197
