,angry,bored,calm,excited,fear,happy,neutral,sad,sleepy
angry,899,50,21,100,111,46,137,12,4
bored,57,415,200,65,115,129,96,191,112
calm,31,78,688,15,66,116,184,94,108
excited,156,60,63,606,31,277,117,44,26
fear,45,203,219,161,281,31,94,262,84
happy,64,108,39,246,34,685,130,34,40
neutral,60,111,278,22,6,111,547,112,133
sad,54,182,148,169,109,60,213,288,157
sleepy,3,215,148,39,166,36,235,265,273
