fold,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,0.3961352657004831,0.3961352657004831,0.3739991173998861,0.37399911739988617
2,0.37342995169082127,0.37342995169082127,0.3109069269740075,0.3109069269740075
3,0.32028985507246377,0.32028985507246377,0.24824163945708044,0.24824163945708044
4,0.34990530303030304,0.34633773799374823,0.3367497115394339,0.34103271405104996
5,0.532051282051282,0.5396032480213795,0.5123291229591647,0.504458071777535
6,0.293719806763285,0.2937198067632851,0.2844671586730916,0.2844671586730916
