metric,mean,std
accuracy,0.36129150040625785,0.058569702603924044
balanced_accuracy,0.3628549626243755,0.06164187979984848
macro_f1,0.31653585791528865,0.07118799249865353
weighted_f1,0.31579114616922604,0.06890153114945416
