fold,ccc_arousal,ccc_valence,ccc_dominance,mean_ccc,mae,mse
1,0.6837602257728577,0.5697458386421204,0.7005713582038879,0.6513591408729553,0.5299244523048401,0.42780518531799316
2,0.5023880004882812,0.34148144721984863,0.579915463924408,0.47459498047828674,0.5224747657775879,0.42395782470703125
3,0.666451632976532,0.45364925265312195,0.6835262179374695,0.6012089848518372,0.6044709086418152,0.5786142945289612
4,0.7449246644973755,0.49265968799591064,0.7389847040176392,0.6588563323020935,0.4724855124950409,0.3439094126224518
5,0.7467301487922668,0.736172080039978,0.7595974802970886,0.747499942779541,0.49523457884788513,0.3784182071685791
6,0.6582648754119873,0.6495372653007507,0.7083587646484375,0.6720536351203918,0.568800151348114,0.5071981549263
