fold,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,0.2806763285024155,0.2806763285024155,0.23778169339187347,0.23778169339187347
2,0.30289855072463767,0.3028985507246376,0.2171730023237294,0.2171730023237294
3,0.2217391304347826,0.2217391304347826,0.1746098092330347,0.1746098092330347
4,0.32670454545454547,0.32497868712702466,0.3222765448857149,0.32440124830453454
5,0.39349112426035504,0.4041782300339192,0.3550990113868622,0.3492809261719364
6,0.19903381642512077,0.19903381642512077,0.154948180051981,0.154948180051981
