fold,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,0.43429951690821256,0.43429951690821256,0.41696370072252936,0.4169637007225294
2,0.38115942028985506,0.3811594202898551,0.3323222181170651,0.3323222181170651
3,0.36618357487922704,0.36618357487922704,0.30448091203485267,0.3044809120348527
4,0.4649621212121212,0.4627593066211992,0.4686218505045703,0.4725886305482519
5,0.599112426035503,0.6060592044403331,0.5740200928364594,0.570004913842911
6,0.4492753623188406,0.4492753623188406,0.43772742255804864,0.43772742255804864
