fold,ccc_arousal,ccc_valence,ccc_dominance,mean_ccc,mae,mse
1,0.5281656980514526,0.4834975004196167,0.4945780038833618,0.5020803809165955,0.6387794017791748,0.6488744616508484
2,0.5510220527648926,0.15493319928646088,0.5419018268585205,0.4159523546695709,0.6065048575401306,0.5919402241706848
3,0.6304269433021545,0.3030984103679657,0.5688346028327942,0.5007866024971008,0.6352133750915527,0.6626823544502258
4,0.6646903157234192,0.273086816072464,0.6677462458610535,0.5351744294166565,0.536076545715332,0.45421528816223145
5,0.6631724238395691,0.5495036840438843,0.6710590124130249,0.6279116868972778,0.5583726763725281,0.48595449328422546
6,0.6131137609481812,0.5951233506202698,0.6345365047454834,0.6142578721046448,0.58685302734375,0.5340361595153809
