fold,ccc_arousal,ccc_valence,ccc_dominance,mean_ccc,mae,mse
1,0.6226608888833745,0.2734491893399535,0.6561858208578808,0.5174319663604029,0.5452360901381123,0.45355159121072425
2,0.4141759718860013,0.12275836062020462,0.4327174623193724,0.32321726494185943,0.5582546701595464,0.48217695832770163
3,0.6949800618594173,0.248278060805435,0.5265371520542501,0.48993175823970087,0.605473915692814,0.610559321695179
4,0.6952392738919204,0.12654651564666441,0.6944204068614387,0.5054020654666745,0.4858627251811218,0.3636868190466643
5,0.6543418952019575,0.25257132773421415,0.6768619876431772,0.5279250701931163,0.5439532969403457,0.4665559308893697
6,0.48757997802700964,0.291794153499735,0.5379222266068638,0.4390987860445361,0.6198515508753007,0.5741539490940487
