,angry,bored,calm,excited,fear,happy,neutral,sad,sleepy
angry,1022,61,34,81,75,35,70,1,1
bored,36,370,346,23,147,220,36,103,99
calm,83,211,602,11,81,153,22,74,143
excited,244,56,20,628,80,264,63,11,14
fear,98,204,191,251,340,91,24,95,86
happy,211,87,46,159,79,694,73,7,24
neutral,123,126,132,27,40,151,533,107,141
sad,30,209,236,203,111,50,193,154,194
sleepy,8,331,352,57,139,138,89,128,138
