fold,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,0.37681159420289856,0.37681159420289856,0.31839607217058874,0.31839607217058874
2,0.3391304347826087,0.3391304347826087,0.27562312510884135,0.2756231251088413
3,0.32463768115942027,0.32463768115942027,0.2564814343589163,0.25648143435891624
4,0.3252840909090909,0.32636402387041774,0.29386064265863054,0.29507481303196453
5,0.47386587771203154,0.48216671805940997,0.45528961435576754,0.44960717350605767
6,0.3280193236714976,0.3280193236714976,0.29956425883898774,0.2995642588389877
